Week,Home Team,Home Goals,Away Goals,Away Team
1,Fulham,,,Arsenal
1,Crystal Palace,,,Southampton
1,Liverpool,,,Leeds Utd
1,West Ham,,,Newcastle
1,West Brom,,,Leicester
1,Spurs,,,Everton
1,Sheffield Utd,,,Wolves
1,Brighton,,,Chelsea
2,Everton,,,West Brom
2,Leeds Utd,,,Fulham
2,Man Utd,,,Crystal Palace
2,Arsenal,,,West Ham
2,Southampton,,,Spurs
2,Newcastle,,,Brighton
2,Chelsea,,,Liverpool
2,Leicester,,,Burnley
2,Aston Villa,,,Sheffield Utd
2,Wolves,,,Man City
3,Brighton,,,Man Utd
3,Crystal Palace,,,Everton
3,West Brom,,,Chelsea
3,Burnley,,,Southampton
3,Sheffield Utd,,,Leeds Utd
3,Spurs,,,Newcastle
3,Man City,,,Leicester
3,West Ham,,,Wolves
3,Fulham,,,Aston Villa
3,Liverpool,,,Arsenal
4,Chelsea,,,Crystal Palace
4,Everton,,,Brighton
4,Leeds Utd,,,Man City
4,Newcastle,,,Burnley
4,Leicester,,,West Ham
4,Southampton,,,West Brom
4,Arsenal,,,Sheffield Utd
4,Wolves,,,Fulham
4,Man Utd,,,Spurs
4,Aston Villa,,,Liverpool
5,Everton,,,Liverpool
5,Chelsea,,,Southampton
5,Man City,,,Arsenal
5,Newcastle,,,Man Utd
5,Sheffield Utd,,,Fulham
5,Crystal Palace,,,Brighton
5,Spurs,,,West Ham
5,Leicester,,,Aston Villa
5,West Brom,,,Burnley
5,Leeds Utd,,,Wolves
6,Aston Villa,,,Leeds Utd
6,West Ham,,,Man City
6,Fulham,,,Crystal Palace
6,Man Utd,,,Chelsea
6,Liverpool,,,Sheffield Utd
6,Southampton,,,Everton
6,Wolves,,,Newcastle
6,Arsenal,,,Leicester
6,Brighton,,,West Brom
6,Burnley,,,Spurs
7,Wolves,,,Crystal Palace
7,Sheffield Utd,,,Man City
7,Burnley,,,Chelsea
7,Liverpool,,,West Ham
7,Aston Villa,,,Southampton
7,Newcastle,,,Everton
7,Man Utd,,,Arsenal
7,Spurs,,,Brighton
7,Fulham,,,West Brom
7,Leeds Utd,,,Leicester
8,Brighton,,,Burnley
8,Southampton,,,Newcastle
8,Everton,,,Man Utd
8,Crystal Palace,,,Leeds Utd
8,Chelsea,,,Sheffield Utd
8,West Ham,,,Fulham
8,West Brom,,,Spurs
8,Leicester,,,Wolves
8,Man City,,,Liverpool
8,Arsenal,,,Aston Villa
9,Newcastle,,,Chelsea
9,Aston Villa,,,Brighton
9,Spurs,,,Man City
9,Man Utd,,,West Brom
9,Fulham,,,Everton
9,Sheffield Utd,,,West Ham
9,Leeds Utd,,,Arsenal
9,Liverpool,,,Leicester
9,Burnley,,,Crystal Palace
9,Wolves,,,Southampton
10,Crystal Palace,,,Newcastle
10,Brighton,,,Liverpool
10,Man City,,,Burnley
10,Everton,,,Leeds Utd
10,West Brom,,,Sheffield Utd
10,Southampton,,,Man Utd
10,Chelsea,,,Spurs
10,Arsenal,,,Wolves
10,Leicester,,,Fulham
10,West Ham,,,Aston Villa
11,Burnley,,,Everton
11,Man City,,,Fulham
11,West Ham,,,Man Utd
11,Chelsea,,,Leeds Utd
11,West Brom,,,Crystal Palace
11,Sheffield Utd,,,Leicester
11,Spurs,,,Arsenal
11,Liverpool,,,Wolves
11,Brighton,,,Southampton
12,Leeds Utd,,,West Ham
12,Wolves,,,Aston Villa
12,Newcastle,,,West Brom
12,Man Utd,,,Man City
12,Everton,,,Chelsea
12,Southampton,,,Sheffield Utd
12,Crystal Palace,,,Spurs
12,Fulham,,,Liverpool
12,Arsenal,,,Burnley
12,Leicester,,,Brighton
13,Wolves,,,Chelsea
13,Man City,,,West Brom
13,Arsenal,,,Southampton
13,Leeds Utd,,,Newcastle
13,Leicester,,,Everton
13,Fulham,,,Brighton
13,Liverpool,,,Spurs
13,West Ham,,,Crystal Palace
13,Aston Villa,,,Burnley
13,Sheffield Utd,,,Man Utd
14,Crystal Palace,,,Liverpool
14,Southampton,,,Man City
14,Everton,,,Arsenal
14,Newcastle,,,Fulham
14,Brighton,,,Sheffield Utd
14,Spurs,,,Leicester
14,Man Utd,,,Leeds Utd
14,West Brom,,,Aston Villa
14,Burnley,,,Wolves
14,Chelsea,,,West Ham
15,Leicester,,,Man Utd
15,Aston Villa,,,Crystal Palace
15,Fulham,,,Southampton
15,Arsenal,,,Chelsea
15,Man City,,,Newcastle
15,Sheffield Utd,,,Everton
15,Leeds Utd,,,Burnley
15,West Ham,,,Brighton
15,Liverpool,,,West Brom
15,Wolves,,,Spurs
16,Crystal Palace,,,Leicester
16,Chelsea,,,Aston Villa
16,Everton,,,Man City
16,Brighton,,,Arsenal
16,Burnley,,,Sheffield Utd
16,Southampton,,,West Ham
16,West Brom,,,Leeds Utd
16,Man Utd,,,Wolves
16,Spurs,,,Fulham
16,Newcastle,,,Liverpool
17,Brighton,,,Wolves
17,Burnley,,,Fulham
17,Chelsea,,,Man City
17,Crystal Palace,,,Sheffield Utd
17,Everton,,,West Ham
17,Man Utd,,,Aston Villa
17,Newcastle,,,Leicester
17,Southampton,,,Liverpool
17,Spurs,,,Leeds Utd
17,West Brom,,,Arsenal
18,Aston Villa,,,Spurs
18,Fulham,,,Man Utd
18,Leeds Utd,,,Southampton
18,Leicester,,,Chelsea
18,Sheffield Utd,,,Newcastle
18,West Ham,,,West Brom
18,Wolves,,,Everton
18,Arsenal,,,Crystal Palace
18,Liverpool,,,Burnley
18,Man City,,,Brighton
19,Arsenal,,,Newcastle
19,Aston Villa,,,Everton
19,Fulham,,,Chelsea
19,Leeds Utd,,,Brighton
19,Leicester,,,Southampton
19,Liverpool,,,Man Utd
19,Man City,,,Crystal Palace
19,Sheffield Utd,,,Spurs
19,West Ham,,,Burnley
19,Wolves,,,West Brom
20,Brighton,,,Fulham
20,Burnley,,,Aston Villa
20,Everton,,,Leicester
20,Crystal Palace,,,West Ham
20,Man Utd,,,Sheffield Utd
20,West Brom,,,Man City
20,Chelsea,,,Wolves
20,Newcastle,,,Leeds Utd
20,Southampton,,,Arsenal
20,Spurs,,,Liverpool
21,Arsenal,,,Man Utd
21,Brighton,,,Spurs
21,Chelsea,,,Burnley
21,Crystal Palace,,,Wolves
21,Everton,,,Newcastle
21,Leicester,,,Leeds Utd
21,Man City,,,Sheffield Utd
21,Southampton,,,Aston Villa
21,West Brom,,,Fulham
21,West Ham,,,Liverpool
22,Aston Villa,,,West Ham
22,Burnley,,,Man City
22,Fulham,,,Leicester
22,Leeds Utd,,,Everton
22,Sheffield Utd,,,West Brom
22,Wolves,,,Arsenal
22,Man Utd,,,Southampton
22,Newcastle,,,Crystal Palace
22,Spurs,,,Chelsea
22,Liverpool,,,Brighton
23,Aston Villa,,,Arsenal
23,Burnley,,,Brighton
23,Fulham,,,West Ham
23,Leeds Utd,,,Crystal Palace
23,Liverpool,,,Man City
23,Man Utd,,,Everton
23,Newcastle,,,Southampton
23,Sheffield Utd,,,Chelsea
23,Spurs,,,West Brom
23,Wolves,,,Leicester
24,Arsenal,,,Leeds Utd
24,Brighton,,,Aston Villa
24,Chelsea,,,Newcastle
24,Crystal Palace,,,Burnley
24,Everton,,,Fulham
24,Leicester,,,Liverpool
24,Man City,,,Spurs
24,Southampton,,,Wolves
24,West Brom,,,Man Utd
24,West Ham,,,Sheffield Utd
25,Arsenal,,,Man City
25,Aston Villa,,,Leicester
25,Brighton,,,Crystal Palace
25,Burnley,,,West Brom
25,Fulham,,,Sheffield Utd
25,Liverpool,,,Everton
25,Man Utd,,,Newcastle
25,Southampton,,,Chelsea
25,West Ham,,,Spurs
25,Wolves,,,Leeds Utd
26,Chelsea,,,Man Utd
26,Crystal Palace,,,Fulham
26,Everton,,,Southampton
26,Leeds Utd,,,Aston Villa
26,Leicester,,,Arsenal
26,Man City,,,West Ham
26,Newcastle,,,Wolves
26,Sheffield Utd,,,Liverpool
26,Spurs,,,Burnley
26,West Brom,,,Brighton
27,Aston Villa,,,Wolves
27,Brighton,,,Leicester
27,Burnley,,,Arsenal
27,Chelsea,,,Everton
27,Liverpool,,,Fulham
27,Man City,,,Man Utd
27,Sheffield Utd,,,Southampton
27,Spurs,,,Crystal Palace
27,West Brom,,,Newcastle
27,West Ham,,,Leeds Utd
28,Arsenal,,,Spurs
28,Crystal Palace,,,West Brom
28,Everton,,,Burnley
28,Fulham,,,Man City
28,Leeds Utd,,,Chelsea
28,Leicester,,,Sheffield Utd
28,Man Utd,,,West Ham
28,Newcastle,,,Aston Villa
28,Southampton,,,Brighton
28,Wolves,,,Liverpool
29,Brighton,,,Newcastle
29,Burnley,,,Leicester
29,Crystal Palace,,,Man Utd
29,Fulham,,,Leeds Utd
29,Liverpool,,,Chelsea
29,Man City,,,Wolves
29,Sheffield Utd,,,Aston Villa
29,Spurs,,,Southampton
29,West Brom,,,Everton
29,West Ham,,,Arsenal
30,Arsenal,,,Liverpool
30,Aston Villa,,,Fulham
30,Chelsea,,,West Brom
30,Everton,,,Crystal Palace
30,Leeds Utd,,,Sheffield Utd
30,Leicester,,,Man City
30,Man Utd,,,Brighton
30,Newcastle,,,Spurs
30,Southampton,,,Burnley
30,Wolves,,,West Ham
31,Brighton,,,Everton
31,Burnley,,,Newcastle
31,Crystal Palace,,,Chelsea
31,Fulham,,,Wolves
31,Liverpool,,,Aston Villa
31,Man City,,,Leeds Utd
31,Sheffield Utd,,,Arsenal
31,Spurs,,,Man Utd
31,West Brom,,,Southampton
31,West Ham,,,Leicester
32,Arsenal,,,Fulham
32,Aston Villa,,,Man City
32,Chelsea,,,Brighton
32,Everton,,,Spurs
32,Leeds Utd,,,Liverpool
32,Leicester,,,West Brom
32,Man Utd,,,Burnley
32,Newcastle,,,West Ham
32,Southampton,,,Crystal Palace
32,Wolves,,,Sheffield Utd
33,Arsenal,,,Everton
33,Aston Villa,,,West Brom
33,Fulham,,,Spurs
33,Leeds Utd,,,Man Utd
33,Leicester,,,Crystal Palace
33,Liverpool,,,Newcastle
33,Man City,,,Southampton
33,Sheffield Utd,,,Brighton
33,West Ham,,,Chelsea
33,Wolves,,,Burnley
34,Brighton,,,Leeds Utd
34,Burnley,,,West Ham
34,Chelsea,,,Fulham
34,Crystal Palace,,,Man City
34,Everton,,,Aston Villa
34,Man Utd,,,Liverpool
34,Newcastle,,,Arsenal
34,Southampton,,,Leicester
34,Spurs,,,Sheffield Utd
34,West Brom,,,Wolves
35,Arsenal,,,West Brom
35,Aston Villa,,,Man Utd
35,Fulham,,,Burnley
35,Leeds Utd,,,Spurs
35,Leicester,,,Newcastle
35,Liverpool,,,Southampton
35,Man City,,,Chelsea
35,Sheffield Utd,,,Crystal Palace
35,West Ham,,,Everton
35,Wolves,,,Brighton
36,Brighton,,,West Ham
36,Burnley,,,Leeds Utd
36,Everton,,,Sheffield Utd
36,Crystal Palace,,,Aston Villa
36,Man Utd,,,Leicester
36,West Brom,,,Liverpool
36,Chelsea,,,Arsenal
36,Newcastle,,,Man City
36,Southampton,,,Fulham
36,Spurs,,,Wolves
37,Brighton,,,Man City
37,Burnley,,,Liverpool
37,Chelsea,,,Leicester
37,Crystal Palace,,,Arsenal
37,Everton,,,Wolves
37,Man Utd,,,Fulham
37,Newcastle,,,Sheffield Utd
37,Southampton,,,Leeds Utd
37,Spurs,,,Aston Villa
37,West Brom,,,West Ham
38,Arsenal,,,Brighton
38,Aston Villa,,,Chelsea
38,Fulham,,,Newcastle
38,Leeds Utd,,,West Brom
38,Leicester,,,Spurs
38,Liverpool,,,Crystal Palace
38,Man City,,,Everton
38,Sheffield Utd,,,Burnley
38,West Ham,,,Southampton
38,Wolves,,,Man Utd
11,Aston Villa,,,Newcastle
1,Burnley,,,Man Utd
1,Man City,,,Aston Villa
